"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3936","TC054: Iframe concept page loads successfully","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","847","TC085: Challenge can be verified as visible","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1016","TC046: All filter elements are visible","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","2029","TC094: All blog cards are visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1324","TC051: Navigation is visible on interview questions page","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","1594","TC103: HTML Basics blog link is enabled","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","991","TC007: Challenges button navigates to challenges page","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","2316","TC003: Logo on home page is clickable and navigates to home","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","941","TC061: Table concept page loads successfully","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","4093","TC038: Search functionality filters interview questions","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","761","TC071: Navigation is visible on concepts page","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1134","TC089: Navigate to challenge and verify URL","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","977","TC007: Challenges button navigates to challenges page","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","868","TC061: Table concept page loads successfully","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","817","TC032: All CTA buttons are visible on explore page","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1634","TC118: Multi-concept navigation","chromium","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1192","TC116: Navigation flow - Home -> Explore -> Back to Home","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1119","TC019: Get and verify hero heading text","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","695","TC093: Blogs page displays Locator Strategies blog card","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1021","TC035: Footer is visible on explore page","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","794","TC033: Back button visibility on explore page","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1217","TC099: Blog detail page loads correctly","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","828","TC010: Interview Questions card is clickable","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","718","TC092: Blogs page displays HTML Basics blog card","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","951","TC022: Verify all navigation links are visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","776","TC087: Footer is visible on challenges page","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1057","TC100: Page heading text is correct","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","728","TC034: Navigation is visible on explore page","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","878","TC108: Blogs page description is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1080","TC090: Back button on challenge detail page","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1389","TC080: Click on Product Filtering challenge","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","974","TC099: Blog detail page loads correctly","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","885","TC084: All challenge links are available","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","685","TC020: Verify How It Works section is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","946","TC065: Page heading text is displayed","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1164","TC075: Product filtering challenge page loads","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1570","TC037: Interview questions page displays search box","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","822","TC069: Important notes are displayed","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1445","TC027: Explore Questions button navigates to interview questions","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1608","TC082: Challenge title text is displayed","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","754","TC026: Explore page displays trending sections","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1004","TC102: Blog links are retrievable","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1567","TC080: Click on Product Filtering challenge","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1342","TC063: Try It Yourself tab can be selected","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1233","TC018: Hero buttons are enabled and clickable","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","752","TC052: Footer is visible on interview questions page","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","1126","TC031: Explore page heading is displayed","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","844","TC004: Start Exploring button is visible and clickable","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","748","TC095: HTML Basics blog link is clickable","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","885","TC106: Footer is visible on blogs page","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","4138","TC036: Interview questions page loads successfully","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","686","TC056: Concepts page displays Try It Yourself tab","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","2298","TC062: Concept tab switching works correctly","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1157","TC055: Concepts page displays Concept tab","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1007","TC028: Start Learning button navigates to concepts","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","773","TC108: Blogs page description is visible","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","784","TC088: Challenge page heading is visible","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","4039","TC091: Blogs page loads successfully","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","867","TC037: Interview questions page displays search box","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","722","TC072: Footer is visible on concepts page","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","837","TC031: Explore page heading is displayed","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","903","TC041: Topic filter is available and clickable","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","984","TC042: Difficulty filter is available and clickable","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","1215","TC105: Navigation is visible on blogs page","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","3935","TC023: Explore page loads with correct title","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","714","TC021: Verify Contact section is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","1039","TC030: Read Blogs button navigates to blogs","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1110","TC023: Explore page loads with correct title","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1310","TC075: Product filtering challenge page loads","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1340","TC050: Back button navigates to explore page","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","950","TC044: Clear Filters button is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","937","TC029: Take Challenge button navigates to challenges","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1707","TC104: Navigate to blog and verify content","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","804","TC105: Navigation is visible on blogs page","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","830","TC049: Page heading text is correct","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","863","TC085: Challenge can be verified as visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","922","TC111: Complete user journey - Home to Challenges","chromium","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","893","TC088: Challenge page heading is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","999","TC005: Challenges button is visible and clickable","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","1584","TC098: Click on Locator Strategies blog","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","946","TC083: Page heading text is correct","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1116","TC032: All CTA buttons are visible on explore page","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","727","TC066: Concept tab is initially selected","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","836","TC046: All filter elements are visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","830","TC034: Navigation is visible on explore page","Microsoft Edge","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","3898","TC038: Search functionality filters interview questions","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","1266","TC111: Complete user journey - Home to Challenges","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1145","TC049: Page heading text is correct","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","834","TC011: Challenges card is clickable","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","967","TC030: Read Blogs button navigates to blogs","chromium","2026-04-30","passed","2026-04-30","Explore Page Tests","explore.spec.ts","",""
"","1149","TC008: Features section displays all feature cards","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","857","TC042: Difficulty filter is available and clickable","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","7093","TC110: Complete user journey - Home to Explore to Concepts","chromium","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1121","TC020: Verify How It Works section is visible","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","687","TC057: Concepts page displays Test Cases tab","chromium","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","4072","TC074: Challenges page loads successfully","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","724","TC100: Page heading text is correct","chromium","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","916","TC059: Multiwindow concept page loads successfully","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","2043","TC101: Blog card count is greater than zero","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","719","TC067: Overview section is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","1043","TC084: All challenge links are available","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1189","TC079: Product pagination challenge link is visible","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","926","TC079: Product pagination challenge link is visible","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1284","TC074: Challenges page loads successfully","Microsoft Edge","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","2559","TC115: Complete user journey - Concept exploration with tab switching","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","652","TC019: Get and verify hero heading text","Microsoft Edge","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","2428","TC110: Complete user journey - Home to Explore to Concepts","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","873","TC076: Product pagination challenge page loads","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","954","TC107: Page title contains Blogs","Microsoft Edge","2026-04-30","passed","2026-04-30","Blogs Page Tests","blogs.spec.ts","",""
"","1199","TC013: How it works link in header navigates to how it works section","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","1748","TC081: Click on Product Pagination challenge","chromium","2026-04-30","passed","2026-04-30","Challenges Page Tests","challenges.spec.ts","",""
"","1114","TC120: Footer links validation across pages","Microsoft Edge","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1307","TC052: Footer is visible on interview questions page","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","3280","TC112: Complete user journey - Home to Interviews with Search","chromium","2026-04-30","passed","2026-04-30","End-to-End User Journeys","e2e.spec.ts","",""
"","1763","TC008: Features section displays all feature cards","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","1439","TC064: Test Cases tab can be selected","Microsoft Edge","2026-04-30","passed","2026-04-30","Concepts Page Tests","concepts.spec.ts","",""
"","970","TC040: Company filter is available and clickable","chromium","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
"","4015","TC001: Home page loads successfully","chromium","2026-04-30","passed","2026-04-30","Home Page Tests","home.spec.ts","",""
"","1787","TC045: Interview questions are displayed","Microsoft Edge","2026-04-30","passed","2026-04-30","Interview Questions Page Tests","interviewQuestions.spec.ts","",""
